sample_id,reference,hypothesis,wer,cer,n_words
train-00000-of-00048_000089,и біз бұған өйтіп бетейік бетейік,и біз буған уитіп битик битик,0.6666666666666666,0.3333333333333333,6
train-00000-of-00048_000090,еу мая достар мынау мені ұрватыр қуатып мынау деген сол үшін өзіңді ұрам белгілі енді мен сені аямайтын болам,е мая достарн ау мен ұрлатор қуатын ау деген сол үшін өзіңді ұран бергел иінді мен сені аямайтын боламын,0.5789473684210527,0.1834862385321101,19
train-00000-of-00048_000091,ең бірі,,1.0,1.0,2
train-00000-of-00048_000092,мәссаған,مәساغان,1.0,0.875,1
train-00000-of-00048_000093,ей мен өзім тұрған түнға бүкп етіп жүрмесем,эме өзім трамптыңға уткеті елмессең,0.875,0.46511627906976744,8
train-00000-of-00048_000094,йо май о мініп кетуге сәл қалдым достар көрдіңіздер ме,йе ма е міңк кетуге сал қалдын достап көбдіңізде ма,0.9,0.2222222222222222,10
train-00000-of-00048_000095,мініп кетсем өте жаман болатын еді мына пацанчикті біз бекістей бастаймыз и біз оны қазір тағы да өлтіріп тастаймыз все,мінкпетсең өте жаман болатын еді на патсан шікті біз бейтпісте бастаймыз и біз оны казі тағы да өлтіріп ұстаймыз се,0.45,0.16806722689075632,20
train-00000-of-00048_000096,әәәәә сен ешқайда шықпайсың,сен ешқайда шықпайсың,0.25,0.2222222222222222,4
train-00000-of-00048_000097,йо майын достар мынау шығып кетті окей біз оны қайттандырамыз,يo maيe dusrnaوsقwett oka bzon qيttan rams,1.0,0.9016393442622951,10
train-00000-of-00048_000098,и внашытке тағы қойып тастаймыз и все,і внашткe та копсемс і всё,1.0,0.4864864864864865,7
train-00000-of-00048_000099,патсаң сен енді ешқайда шыға алмайсың үстін жауып қойық түсіп өзіміз үңгіп кетіп жүреміз,пацанси енді ешқайда шығ алмайсыңе үстін жауық қойықтыс деп өзімізді мүкбетп жүреміз,0.7142857142857143,0.26136363636363635,14
train-00000-of-00048_000100,әйтпесе и бізгі мына пацаны мына шеттен ұра бастаймыз бұл деген өзінше,әйтпесе и біз бұна патсанына шеттен ыра бастаймыз бұл деген өлінше,0.5,0.15714285714285714,12
train-00000-of-00048_000101,кашан де болады,خشاnدبول,1.0,1.0,3
train-00000-of-00048_000102,сол үшін біз оны ұра бастаймыз,sosen bson ravastaims,1.0,0.9333333333333333,6
train-00000-of-00048_000103,и биткуэнск кавчи,იბითყვე სგავჩი,1.0,1.0,3
train-00000-of-00048_000104,өле тұрсың пока что,өле тұрсын пакашты,0.75,0.2631578947368421,4
train-00000-of-00048_000105,достар біз короче бүйтеміз мынандай екінші жұмысын садақ аламыз,достар біз кортше битеміз нандайр екінші өрімізі садақ аламыз,0.4444444444444444,0.2222222222222222,9
train-00000-of-00048_000106,и мынаның басынан бүйтіп ата бастайыз бұл зефрикстің,и мұнаның басынан би ата бастайбыз бұл зефрикстің,0.375,0.1346153846153846,8
train-00000-of-00048_000107,өте кереметтей ресурс багы,лоти кирометеи ресурс пага,0.75,0.34615384615384615,4
train-00000-of-00048_000108,и біз бұнын бүйтіп жібереміз да өтірік астына трамплин қойып жібереміз короче,и біз боны жүреміз да өтірік астына трамплин қойып жүреміз картше,0.4166666666666667,0.23376623376623376,12
train-00000-of-00048_000109,всё,行,1.0,1.0,1
train-00000-of-00048_000110,иін алып шығып кетті достар и біз оны ұра бастаймыз,ийін ау шықпетті достар и біз оны ырауастаймыз,0.6,0.21568627450980393,10
train-00000-of-00048_000111,қазір біз нашарке трамплинымызды аламыз и на пацанчикты өлтіреміз,казба значитки трамплинс аламс и на подсанчики wольтремс,0.7777777777777778,0.4461538461538462,9
train-00000-of-00048_000112,трамплин қойып қоямыз давай,tramplingokoyanos dawai,1.0,0.9629629629629629,4
train-00000-of-00048_000113,достар әдемі кетті мынаған қараңыздар,юһу дустар әдемге тынаң ғараңыза,1.0,0.4864864864864865,5
train-00000-of-00048_000114,өте әдемі троллик мифсті ме келіп түсті короче,оттяадем тролнинг миксты мегельптосты короче,0.875,0.34782608695652173,8
train-00000-of-00048_000115,енді шығатын болсаң осы трамплинді басасың,енді шығатын болсаң осы трамплинді басасың,0.0,0.0,6
train-00000-of-00048_000116,елемеңсердің бұрықтық атып өлтірісіп,еле менсетін бұрыстык атып өлтіріс,1.0,0.25,4
train-00000-of-00048_000117,кемге,مير,1.0,1.0,1
train-00000-of-00048_000118,все достар мен атып өлтірсам и бұны біз жалпыстаймыз пока что өле тұрсын,все дусам мен ат өлтырсам и боны бит жалпыстаймыз пака што өле тұрсым,0.6153846153846154,0.16666666666666666,13
train-00000-of-00048_000119,өлмесе өте жаман болады мен үш алмалы қойдың барыншы,өлмесе өте жаман баты мен үш алмалық қойдым парөтше,0.4444444444444444,0.17307692307692307,9
train-00000-of-00048_000120,шаума өте көп,saوma wuti kop,1.0,0.9230769230769231,3
train-00000-of-00048_000121,белгелек қайда барыптысың,депгеле қайдалартсың,1.0,0.32,3
train-00000-of-00048_000122,қазір осы біз мынаны жөндеп жаууымыз керек мына брәчкамызды,кazdu sirbзнan жundi в жaлomusкiriti na braчiкamez,1.0,0.847457627118644,9
train-00000-of-00048_000123,әйтпесе қысылыватыр ау деймін,әйтпесе ол қысыл ола тұралы дем,1.25,0.4827586206896552,4
train-00000-of-00048_000124,и біз сені қазір әдемі қылып жауып береміз қорықпа,и біз ені қазір әдем қолып жалп береміз қорықпа,0.4444444444444444,0.1,9
train-00000-of-00048_000125,ей біз оны ұра бастаймыз бізді іскең кеткенбіз енді,и біз оны ұрабастаймыз бізді скинт ет жермісе енді,0.6666666666666666,0.27450980392156865,9
train-00000-of-00048_000126,и біз наштке бетеміз короче,i bez naštki bitim skarce,1.0,0.8518518518518519,5
train-00000-of-00048_000127,жағын жауамыз бүйтеміз капче бұны өтірік жіберіватқандай болайық,а жағын жауамыз бекеміз капше бұны өтіріп жіберп атқандай болайық,0.75,0.140625,8
train-00000-of-00048_000128,все мына жағын сындырамыз и ей ей ей ей пацан пацан пацан аямаймын сені өйткенің үшін,все нажағын сындырамыз ие патсан патсан патсан аямаймын сені өйткенің үшін,0.625,0.23529411764705882,16
train-00000-of-00048_000129,все өзіңнен көр,се өзіңнен көр,0.3333333333333333,0.06666666666666667,3
train-00000-of-00048_000130,мен сені аямаймын,мен сені аянмаймын,0.3333333333333333,0.058823529411764705,3
train-00000-of-00048_000131,очень все уже дайындап отыр,acyoayindu,1.0,1.0,5
train-00000-of-00048_000132,зат бар,जaትपር,1.0,1.0,2
train-00000-of-00048_000133,иә майдусан ол мені скринт етіп жепсіз иә,jo mae dosabna umen scinti чe вse,1.0,0.8780487804878049,8
train-00000-of-00048_000134,өте өте өте жаман болады карточье біз оны луппе ата бастаймыз,өте өте өте жаман болады картше біз оны лыппе ата астаймыз,0.2727272727272727,0.08196721311475409,11
train-00000-of-00048_000135,бүйтеміз бүйтеміз и ол бізге келатыр біз оны скит ет жүреміз и все он умер біз оны бүйтіп жалпыстаймыз осы үшін мен оны аямаймын короче,бетеміз бетеміз и ол бізге килатыр біз оны скин детп жереміз и все он умер біз оны бетіп жалпыстаймыз осы үшін мен оны аямайм каротше,0.36,0.11851851851851852,25
train-00000-of-00048_000136,жерге батсаң сен енді ешқайда да шыға алмайтын боласың,бебгей патсан сен енді ешқайда да шыға алмайтын боласың,0.2222222222222222,0.09259259259259259,9
train-00000-of-00048_000137,мұның байы,nungbaye,1.0,1.0,2
train-00000-of-00048_000138,багермін мен түсіндің бе багермін,bagern tunumbe bagerm,1.0,0.9393939393939394,5
train-00000-of-00048_000139,мысыл,ye meso,2.0,1.4,1
train-00000-of-00048_000140,сырынан қараңыздар мынау қалай шығып бара жатқанын,сырынан қараңызд мынау қалай шығып бара жатқан,0.2857142857142857,0.08,7
train-00000-of-00048_000141,и біз оны топырып саймыз все,і bзona tuporo seims вsё,1.0,0.7857142857142857,6
train-00000-of-00048_000142,қаласың кароче достар ромеона әдемі,қаласың карче дұсыр мөңінің әдемі,0.6,0.3142857142857143,5
train-00000-of-00048_000143,жап жегіңді түр түсініп тұрған боларсыздар,жар жеріңептір катше түсыныптырғанын болапсыздар,1.0,0.40476190476190477,6
train-00000-of-00048_000144,все братышка покойся смирно дейм ба не дейм все корче душа біз бетеміз и нәрсе йомайно қашып баратыр ғой,вsё pratiška takoysя smirn dimbanidin вsё kapce dusa bsbitems i naške jomaino qašk paratrl,1.0,0.8461538461538461,19
train-00000-of-00048_000145,бамп,baمp,1.0,1.0,1
train-00000-of-00048_000146,өте әдемі достар короче нәшті на пацанчик,guتiعدم دوستر كaرcي ناشتي نapaتسanc,1.0,0.9024390243902439,7
train-00000-of-00048_000147,бос әкіметті бізде,бос акметті бізде,0.3333333333333333,0.1111111111111111,3
train-00000-of-00048_000148,и ол закупицейткісі келген біз оған закупицейтуге шанс бермейміз,и ол закупитсаиткісі кельген бізолаған закупитсаиттуе шанс перме имст,0.7777777777777778,0.296875,9
train-00000-of-00048_000149,біз оны садақпай атпастаймыз короче,zon saдak my at staim sкarci,1.2,0.8857142857142857,5
train-00000-of-00048_000150,қаш қаш қаш молодец,قش قش قص موادي,1.0,0.8421052631578947,4
train-00000-of-00048_000151,имэн үй өмбай,语用m,1.0,1.0,3
train-00000-of-00048_000152,қаш дегенім ғой капчаныстар мынау қашып кетті бізде,қасты қоппаңа қаш дегенғой калтше достар нау қашып кетті бізде,0.75,0.5098039215686274,8
train-00000-of-00048_000153,ей бергіл сені мен еш қасырында сол үшін аямаймын,е белгіл сенімен ешқашан да сол үшін айямайым,0.7777777777777778,0.24489795918367346,9
train-00000-of-00048_000154,мәс ағам,ماسغان,1.0,1.0,2
train-00000-of-00048_000155,енді қайт менің базама кірмейтін боласың пә тәмішкені трэмплиін қойып қоямын,енді қайт мен базама кірмейтін боласың пәтәмішкенін тірәм пілейім қойып қоямын,0.36363636363636365,0.14473684210526316,11
train-00000-of-00048_000156,мұнайшылықке мінген де шығасың,мына шетке мӗңгендешасын,1.0,0.43333333333333335,4
train-00000-of-00048_000157,мына іштен қашқанда ұшасың,мына ішіттен қашқанда ұшасың,0.25,0.07692307692307693,4
train-00000-of-00048_000158,түсінің ба иә,сының бае,1.0,0.5384615384615384,3
train-00000-of-00048_000159,іштен қашқанда ұшасың,нештен ҡашҡанда ошасың,1.0,0.23809523809523808,3
train-00000-of-00048_000160,иии сосын,iso sun,1.0,0.8888888888888888,2
train-00000-of-00048_000161,мәссаған достар мынау полк алып алыпты өзінше,мә саған достар мынал палкалы балыпты өзінше,0.8571428571428571,0.13333333333333333,7
train-00000-of-00048_000162,и біз оны былай атап бастаймыз и все вергиль сол үшін сен аямаймын сен менде,и біз оны былай ата бастаймыз и все белгел сол үшінсен аянмаймын сен менде,0.3333333333333333,0.09210526315789473,15
train-00000-of-00048_000163,что то ұмытып кеттің ау деймін ботинки бар келін,чота ұмыт кеттіңау дем батинкі бар кен,0.8888888888888888,0.2708333333333333,9
train-00000-of-00048_000164,белгіс жайы сен енді ешқашанда,бергеш шайы сен енді ешқашан да,0.8,0.16666666666666666,5
train-00000-of-00048_000165,жаттық емессің давай қаша ғой қаша,затқаң мессің далай қаша ғой қашал,0.6666666666666666,0.20588235294117646,6
train-00000-of-00048_000166,өтірік қашып кетті ой,تіر قاشق بت اواي,1.0,0.8571428571428571,4
train-00000-of-00048_000167,давайте болса біз оны комбоға алып көрейік,далайте бұса бізоны комбоғ алық көрейт,1.0,0.19047619047619047,7
train-00000-of-00048_000168,ну басик та,nu bosikte,1.0,0.9090909090909091,3
train-00000-of-00048_000169,давай қашып кет,далай қашық бет,1.0,0.2,3
train-00000-of-00048_000170,біз он бой бой ура бастаймыз все изи,bizon boj boj rabastaims vso izi,1.0,0.8611111111111112,8
train-00000-of-00048_000171,уламай дейді білмеймін неге екенін уламай деп жатыр давай қаш молодец красавчик давай давай бас бас бас,ұламай дит білмей ма неге кенін ұламай деп жатыр дауай қаш мала дес красавчек дауай дауай бас бас бас,0.7058823529411765,0.17475728155339806,17
train-00000-of-00048_000172,қш,قش,1.0,1.0,1
train-00000-of-00048_000173,қаш молодец қаш жүрсең басың істемейді ме жырынды екен ғой ол,қаш маладеш қаш жүшсен басым істемей ма жанды кем қоналы,0.8181818181818182,0.3114754098360656,11
train-00000-of-00048_000174,біз оны топорымен өлтіреміз кәзір,bзon ta porme urtrens gazer,1.0,0.8787878787878788,5
train-00000-of-00048_000175,так уже әдемі тиетін шығар достар давайте лайкомызды бастаймыз,тәпір әдемі тиетіншар достар дауайте лайкымыз басамыз,0.7777777777777778,0.24193548387096775,9
train-00000-of-00048_000176,біз қазір оның кроватьін сындырғанымыз короче,кадрбон кроватьно сандрамско вообще,1.0,0.5333333333333333,6
train-00000-of-00048_000177,и потом келіп сұранысқа барайын десем бірде уже,и патон келіс ұрамыққа барайын десем бірдеужі,0.625,0.1702127659574468,8
train-00000-of-00048_000178,он екі банк үй достар мынау шығып кетті бізде өте күшті от деген ойда мінекей біздің,он екірант и дустарнау шық петті бізде өте күштіолыт деген ойда мінеки біздің,0.625,0.21428571428571427,16
train-00000-of-00048_000179,постройкамыз достар кешке нормальный видео шығады короче,постройкамыз достар кешке нормальны видео шығат каруче,0.42857142857142855,0.08928571428571429,7
train-00000-of-00048_000180,соны күттің мен қазір скрин жасап алайын,соны күтің мен казі скрин жасап алайын,0.2857142857142857,0.075,7
train-00000-of-00048_000181,и все достар кешке нормально видео шығады достар күттің кароче,и все достар кешке нормальны видео шығаып достар күтін каручы,0.4,0.11290322580645161,10
train-00000-of-00048_000182,кешке шығаратын боламын и давайте осы видеоға,кешке шығаратын боламын и давайте осы видеоға,0.0,0.0,7
train-00000-of-00048_000183,жиырма бес лайчынан каналға тіркелеміз давайте енді видео біткен соң,жиырма бес лайык жинан каналға тір келеміз далайты енді видео біткен соң,0.5,0.11764705882352941,10
train-00000-of-00048_000184,комментімізді қалдырып кетеміз достар,комментімызды қалдырып кетеміз остар,0.5,0.08108108108108109,4
train-00000-of-00048_000185,видеолыға лайкқымызды бастамыз дәу екен бақа бақа чоқ,video laikmis basams davaiten pakapakačeo,1.0,0.9245283018867925,8
train-00000-of-00048_000186,баршаңызға сәлем менің есімім мая болат жасым он екіде шымкент қаласынан келіп отырмын,баршаңызға сәлем менің есімім мая болат жасым он екі де шімкент қаласынан келіп отырмын,0.23076923076923078,0.023255813953488372,13
train-00000-of-00048_000187,кішкентай кезімнен бастап әнді қатты жақсы көремін теледидарды қосып қойып балапан телеарнасын қойып сонымен бірге өлең айтатынмын,кішкентай кезімнен бастап әнді қатты жақсы көремін теледедарды қосып қойып балапан теле арнасын қойып сонымен бірге өлен айтатын,0.29411764705882354,0.046153846153846156,17
train-00000-of-00048_000188,мен алғашқы сахнаға оршақ театрында шықтым ол кезде барлықтары ұялы телефондарын алып түсірді мен өзімді как будто жұлдыз сияқты сезініп кеттім сол кезде барып анама отбасыма қуанып айтып сол бірінші рет шықтым жұлдыз болып кеттім деп,мен алғашқы сахнаға оршақ театрында шықтым ол кезде бәрліктері ұялы телефондарын алып түсірді мен өзімді кабута жұлдыз сияқты сезініп кеттім сол кезде барып анама отбасыма қуанып айтып сол бірінші рет шықтым жұлдызылып кеттім деп,0.1388888888888889,0.05128205128205128,36
